text,word_count,sentiment
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",24,neutral
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,10,negative
 romance zero is funny,4,positive
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",20,neutral
Yor are so unromantic,4,negative
MAYDAY?!,1,neutral
 I`d rather do the early run..but I am a morning runner,11,neutral
 I love to! But I`m only available from 5pm.  and where dear?,12,positive
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,18,neutral
 i talk to you,4,neutral
"im soo bored, I don't like this music video",9,negative
this concert is amazing,4,positive
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",27,neutral
"Its raining, I need an umbrella ",6,neutral
should be sleeping.  lost my voice a couple day ago.,10,negative
"I'm depressed, I'm thinking about suicide, what I need to do now?",12,negative
 I`ve heard this fall. I`m waiting too!,7,neutral
I saw an amazing nightmare yesterday night,7,neutral
I AM SUCH A CREEPER  I feel disappointed because of it.,11,negative
"I have bad headech, what I need to do now",10,negative
happy mother`s day to all moms out there. Mothers are our real hero,13,positive
Grabbing coffee from  then making mom breakfast,7,neutral
im thinking that im going to have fun tonight,9,positive
Yesterday was most valuable day for me,7,positive
" Haha I know, I cant handle the fame!  and thank you!",11,positive
"One suggestion for me is, be up to date",9,neutral
"Always love everyone, love all animals. Most important love your parents",11,positive
I'm playing minecraft video game. I'm addicated to it.,9,positive
See you in the cloud,5,neutral
What a great day!!! Looks like dream.,7,positive
"I feel sorry, I miss you here in the sea beach",11,positive
Don't angry me,3,negative
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,14,negative
"Those who want to go, let them go",8,negative
"Its night 2 am, feeling neutral",6,neutral
2 am feedings for the baby are fun when he is all smiles and coos,15,positive
Soooo high,2,neutral
 Both of you,3,neutral
Today first time I arrive in the boat. Its amazing journey,11,positive
Love is something like E=MC^2 rules,6,neutral
I really really like the song Cardigan by Taylor Swift,10,positive
My Sharpie is running DANGERously low on ink,8,negative
i want to go to music tonight but i lost my voice.,12,negative
Always somewhere I miss you where I have been,9,neutral
Don't distrube me,3,negative
"I don't care, who are you and what can you do",11,negative
i`ve been sick for the past few days ,8,neutral
"I'm come back home, my past job, its really good time for me",13,positive
I will never fall in love until I found you,10,positive
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",11,neutral
"Playing with kids, its amazing",5,positive
is cleaning the house for her family who is comming later today..,12,neutral
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,17,negative
"Follow me, I will follow you too",7,neutral
"Its amazing game, I playing everyday",6,positive
  I`m sorry.,2,negative
"I'm in the village now and there hardly found internate, feeling gloomy",12,negative
juss came back from Barisal,5,neutral
Went to sleep and there is a power cut in the village. ,12,neutral
How looks like our company new logo?,7,positive
"I buy Sophie's world book, I'm really so happy",9,positive
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,26,negative
 That`s very funny.  Cute kids.,5,positive
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",20,neutral
My semester final exam is complete. Hurray!!!,7,positive
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,18,negative
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",24,neutral
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,10,negative
 romance zero is funny,4,positive
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",20,neutral
Yor are so unromantic,4,negative
MAYDAY?!,1,neutral
 I`d rather do the early run..but I am a morning runner,11,neutral
 I love to! But I`m only available from 5pm.  and where dear?,12,positive
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,18,neutral
 i talk to you,4,neutral
Grabbing coffee from  then making mom breakfast,7,neutral
im thinking that im going to have fun tonight....and maybe some changes are coming,14,positive
 thanks. before the major chop.,5,neutral
" Haha I know, I cant handle the fame!  and thank you!",11,positive
just got up and updated my ipod,7,neutral
"I still loving you, you are my love",8,positive
"Lets go, its time to play cricket match",8,positive
"Hey everyone, do you watch cricket match between eng vs aus yesterday",12,neutral
Australia cricket team I love you,6,positive
 which means you`re just going to have to come back to vancouver and have it our way! hahah,18,neutral
Feeling smooth like chrome,4,positive
feeling gloomy,2,negative
Today we will go a concert,6,neutral
i need coffee too.,4,neutral
 Sounds like me,3,neutral
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,22,neutral
Walking to class. I hate not having a bike....especially mine.,10,negative
I'm start learning machine learning,5,neutral
failed inspection. ,2,negative
Lets sing a song,4,positive
happy father`s day to all the father in the world.,10,positive
"Today, my semester final exam was really great",8,positive
Really great day,3,positive
The exception for a short dude,6,neutral
Congratulation for your achievement,4,positive
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit. ",18,positive
 Yes i work 9 to 5 ,6,neutral
" Hmmm, maybe that`s what they meant. ",6,neutral
Done at the spa   now meeting vic for some late lunch!,11,neutral
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,15,positive
 Always have wanted to go to university,7,neutral
 Thanks,1,neutral
Really great football match,4,positive
  that`s why I need to be there,7,positive
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,27,neutral
 If only we could ever actually be allowed to stay here and do that,14,neutral
 Let me know how that turns out!!,7,neutral
 was that sass I detect?  As long as it isn`t back sass! Haha,13,neutral
" yeah I was thinking about that ,ahaha",7,positive
Today is our EEE day,5,neutral
I`m not sleeping at all until  accepts my appology,9,negative
I'm studying in psychology,4,negative
" I live for pain, bring it on",7,neutral
"okay, i`m out for a while  back later!",8,neutral
"We visited worlds longest sea beach, Its really amazing time for us",12,positive
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. ,14,positive
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,23,neutral
your attitude looks like autistics child,6,negative
going to shower because i don`t want to smell at school tomorrow,12,neutral
Do you know sign languages,5,neutral
 Since the demise of Woolworths it isn`t easy to find reasonably priced pick n mix anywhere,16,negative
may the fourth be with you! happy star wars day,10,positive
just got home from work,5,neutral
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,20,negative
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,16,positive
 it was only once for my big brother,8,neutral
good news: finally finished my bachelor degree,7,neutral
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",23,positive
"yesterday I'm watch a movie, that’s was really motivated for me",11,positive
  hope he is ok!,4,positive
can`t school just be done already? it hurts too much... seeing him every day,14,positive
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",24,neutral
 Hell Yeah!,2,neutral
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,16,neutral
 i know!!,2,neutral
 Smelly? Noooo. I love alex Vixon,6,neutral
"Went to a party last night. GREAT MINDS THINK ALIKE  Anyway, happy birthday",13,positive
" Happy birthday! Just woke up on this side of Earth, so wishes are bit late",15,positive
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",25,positive
HAPPY MOTHERS DAY.!,3,positive
" laughs I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",22,positive
  Thanks,1,positive
twittering after 2 days!,4,neutral
Getting ready for week  Its too nice today to be stuck inside working!,13,positive
I am tres depressed,4,negative
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",23,negative
Happy Mothers Day people. i love my mom a lot still,11,positive
 I`m sorry to hear that.,5,negative
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",20,positive
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",22,positive
Is getting the hang of Twitter.,6,neutral
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,28,negative
I want it BACK NOW!,5,neutral
Going to miss my roomie ... We will no longer be roomies starting tomorrow,14,negative
"bathing with two little angels, Keyla and Janice.",8,neutral
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",20,negative
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,21,neutral
"Family is here,hanging with them",5,neutral
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,13,positive
 what`s goin on hun?  I`m worried about you,8,negative
 Im not bannished... but I am at work till 6,10,negative
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",19,neutral
Grabbing coffee from  then making mom breakfast,7,neutral
im thinking that im going to have fun tonight....and maybe some changes are coming,14,positive
Grabbing coffee from  then making mom breakfast,7,neutral
im thinking that im going to have fun tonight....and maybe some changes are coming,14,positive
 thanks. before the major chop.,5,neutral
" Haha I know, I cant handle the fame!  and thank you!",11,positive
just got up and updated my ipod,7,neutral
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,18,positive
 We never miss ICarly - my son has a huge crush on Miranda,13,positive
Saw James carville in the store today. His head is really that bald,13,neutral
I love blue and programming,5,neutral
 which means you`re just going to have to come back to vancouver and have it our way! hahah,18,neutral
Feeling smooth like chrome,4,positive
Errors are red but my life is looks like blue film,11,negative
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",20,neutral
"Errors are red but my life is blue, I love rose and your lips baby",15,positive
 Sounds like me,3,neutral
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,22,neutral
Walking to class. I hate not having a bike....especially mine.,10,negative
sounds good,2,neutral
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",23,negative
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",14,positive
happy mother`s day to all the mothers in the world.,10,positive
"I've got a fever, can you chcek, a good song, I'm listening this song everytime",15,positive
Fun night! Listened through the next episode of this turkey drama,11,positive
The exception for a short dude: Larenz fineass Tate yum,10,neutral
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",16,positive
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",24,positive
 Yes i work 6 to 3...,6,neutral
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",19,neutral
Done at the spa   now meeting vic for some late lunch!,11,neutral
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,15,positive
 Always have wanted to go to Oz,7,neutral
 Thx,1,neutral
I love this youtube tutorial,5,positive
  that`s why I need to be there...To represent the Blackberries,10,positive
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,27,neutral
 If only we could ever actually be allowed to stay here and do that,14,neutral
 Let me know how that turns out!!,7,neutral
 was that sass I detect?  As long as it isn`t back sass! Haha,13,neutral
" yeah I was thinking about that ,ahaha",7,positive
 Dont know whether that helps. Google it to know more,10,neutral
I`m not sleeping at all until  accepts my appology,9,negative
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",13,negative
" I live for pain, bring it on",7,neutral
"okay, i`m out for a while  back later!",8,neutral
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,14,neutral
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,19,positive
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,23,neutral
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",26,negative
going to shower because i don`t want to smell at school tomorrow,12,neutral
 Sigh... you know I am...,5,neutral
"discovered cause of a bug in the new  4 build. Publishing bug fix now, hopefully new beta by tomorrow",19,positive
Here are 4 FREE notebooks to know machine learning well,10,neutral
just got home from work.... and is chugging down a big bottle of apple juice.,15,neutral
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,20,negative
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,16,positive
 it was only once for my big brother...and I`m done now,11,neutral
good news: finally finished my workout that has been paused for 6 hours. bad news: my resistance band is torn,20,neutral
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",23,positive
FTSK and Mercy Mercedes were amazing tonight.. as always,9,positive
  hope he is ok!,4,positive
can`t school just be done already? it hurts too much... seeing him every day,14,positive
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",24,neutral
 Hell Yeah!,2,neutral
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,16,neutral
 i know!!,2,neutral
 huh what the ****? Smelly? Noooo. I love alex Vixon,10,neutral
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",25,positive
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",15,positive
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",25,positive
HAPPY MOTHERS DAY.!,3,positive
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",22,positive
  Thanks,1,positive
twittering after 2 days!,4,neutral
Getting ready for week  Its too nice today to be stuck inside working!,13,positive
I am tres depressed,4,negative
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",23,negative
Happy Mothers Day people. i love my mom a lot still,11,positive
 I`m sorry to hear that.,5,negative
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",20,positive
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",22,positive
Is getting the hang of Twitter.,6,neutral
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,28,negative
I want it BACK NOW!,5,neutral
Going to miss my roomie ... We will no longer be roomies starting tomorrow,14,negative
"bathing with two little angels, Keyla and Janice.",8,neutral
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",20,negative
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,21,neutral
"Family is here,hanging with them",5,neutral
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,13,positive
 what`s goin on hun?  I`m worried about you,8,negative
 Im not bannished... but I am at work till 6,10,negative
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",19,neutral
" red top tabloids, build em up, knock em down",9,neutral
tonight in party w/ my girls (minus vita),8,positive
  why not now you made me sad I thought you`d be jumping for joy,14,neutral
 Simple my,2,neutral
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",29,neutral
" I saw the play of it here, it was amazing",10,positive
i am glad to break my twitter virginity with you two.,11,positive
Dinner with the fam... I have missed them,8,negative
"Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",21,neutral
Hell yeah Kellynn got a Twitter. Finally.,7,neutral
" I know   It was worth a shot, though!",8,positive
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",18,positive
Ship. I`m stuck.,3,negative
DUSTBIN BABY ON AT 11.30 Cannot wait  x,8,positive
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",22,negative
whats the day going on,5,neutral
It looks like the office TV DOES get MLB Network,10,neutral
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,17,neutral
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,12,negative
today is a busy day. exhausting!,6,negative
" I was going to go on Sunday, but now I`ve got too much going on that weekend",17,neutral
 Sorry to hear ur flight got cancelled  that blows!!!,9,negative
ohh my tooth is hurts ohh  im sad it very hurts,11,negative
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",26,positive
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,14,negative
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,27,neutral
sore throat. Planning the TET outing to Marwell though...good times,10,neutral
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,28,positive
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,17,negative
 There!,1,neutral
?sucks!?..,1,negative
 whens the sway sway winner announced?,6,neutral
 K will check it out...,5,neutral
" doing pretty well, up and wide awake",7,positive
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",27,neutral
I Miss Daddy and Mommy,5,negative
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",24,negative
I just realized that I can`t forward text msgs with my iPhone.,12,neutral
"My frist post... Off to find a new car for my parents, exciting!",13,positive
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,22,negative
seriously bored without anyone to talk to... but not tired enough for sleep,13,negative
 I am lost. Please help me find a good home.,10,negative
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",28,neutral
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,20,negative
 LMAO... Smh!  that one threw me off.,7,neutral
 oh nice going!,3,positive
Is getting ready for work... Working all weekend,8,neutral
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,13,positive
 i agree with you!,4,positive
 I only do computers. Am hopeless at everything else,9,negative
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",11,positive
_2nd aww thanks!,3,positive
 Sorry RB is on PS3 for me,7,negative
I saw amazing heeels. But they were too big,9,neutral
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,20,negative
dang last url went down  ? http://blip.fm/~7aigm,7,negative
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",22,negative
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,16,negative
 my boss. She`s moving to NYC,6,neutral
this is sooo crazy i have fever..,7,negative
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,22,negative
I think i need some new friends,7,neutral
 Looking forward to your gig in Ireland!!!  See ya there!,10,neutral
I' watching a movie name Adimurie,6,positive
aww  you loooove me,4,positive
"is hungry, twitter.  i want food.",6,neutral
awesome lucky you,3,positive
" yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",15,neutral
" haha im jewish, i love that one",7,positive
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",28,neutral
 l`m on 3 days too matt. No fun this weekend.,10,negative
 u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,24,neutral
 I feel your pain. Mine is the same way,9,negative
comes home in two days,5,neutral
 Sadly no. It didn`t come with one...,7,negative
Cant wait to see my boy tomorrow,7,positive
 ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,19,neutral
 aww I miss driving down elmwood,6,negative
Omg Wango Tango was **** AWSOME! I love my baby for taking me,13,positive
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched",11,positive
_30439 I really wish I could go!,7,positive
" yeah real hard, but I know you`ll get by with it... smile",12,neutral
 I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,21,negative
  This has made my night!!  Way too funny!!,8,positive
Woo CAVS.  Happy Mother`s Day!,5,positive
 I make that same face when I get home and your mom is watching soaps.,15,neutral
I have to go to work now.,7,neutral
 I can`t believe you went and got boba without me.,10,neutral
"  And to you too, how are you today?",8,neutral
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,19,positive
19 days and counting,4,neutral
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,20,negative
BRAINFREEZE,1,neutral
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,22,neutral
"My sunburn is peeling,",4,negative
perky purple nail polish isn`t as perky when its chipped,10,neutral
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",21,neutral
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,27,negative
I hate the dentist,4,negative
" nothing aimed at you, just joining in...sorry",7,negative
I`m taking a twitter break. Cell is dying,8,negative
 qood morninq,2,neutral
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,15,neutral
needs more followers,3,neutral
I wish I could get my nails done  stupid job,10,negative
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,23,neutral
 the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,17,neutral
 Have a good one,4,positive
" yep infact she is popular, miss india 99, talented film actress .... and lot more",15,positive
Dosen`t Want To Go To Work Tomorrow,7,negative
Daniel has won DSDS. His voice is great.,8,positive
I need blood O negative,5,neutral
was hoping to go to Red Lobster this weekend,9,neutral
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,24,positive
I sure do hope it becomes 4:20 this afternoon ...,10,positive
 it means that you are now FAMOUS. Congrats!,8,positive
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,15,negative
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",23,positive
tamlyn wishes she was as cool as my sock draw,10,positive
 so no rice or crusty bread with the chili .... aawww,11,neutral
"  We are of like minds this evening , my dear!",10,neutral
come and save me from my packing please?!,8,neutral
"Yes, I love tea. If that makes me typically English then so be it",14,positive
 a mouth for sure,4,positive
Just finished an amazing workout! Feeling so pumped and ready for the day.,13,positive
Why do Mondays always have to be so tough? Can't wait for the weekend.,14,negative
"Had a decent day at work, nothing special but at least it wasn't too stressful.",15,neutral
The new phone update is seriously awesome! Love the new features.,11,positive
Can't believe the traffic today. Took me hours to get home. So frustrating!,13,negative
Spent the afternoon reading by the beach. It was so peaceful and relaxing.,13,positive
"The game was okay, but it didn't live up to the hype. Maybe next time.",15,neutral
So done with today. Everything that could go wrong did go wrong.,12,negative
Got a promotion today! All the hard work is finally paying off.,12,positive
"Meh, the latest episode of the show was kind of boring. Expected more drama.",14,neutral
Coffee is life. Can't start my day without it! ?,10,positive
Why do people have to be so rude on public transport? Really ruins my day.,15,negative
"Had an okay day at school, but I'm just really tired.",11,neutral
Woke up to a beautiful sunrise today. It's going to be a great day!,14,positive
My phone battery is dying way too quickly. So annoying!,10,negative
Just had the best homemade pasta for dinner. I need the recipe!,12,positive
"The party was alright, but it wasn't as fun as I expected.",12,neutral
"Ugh, this headache won't go away. Can't focus on anything right now.",12,negative
Spent the evening catching up with an old friend. It was really nice.,13,positive
The concert was a letdown. The sound quality was terrible.,10,negative
Just finished my first 5K run! Feeling proud of myself.,10,positive
The weather is so gloomy today. Not feeling motivated to do anything.,12,negative
"The new album is decent, but it's not their best work.",11,neutral
My cat just did the funniest thing! Can't stop laughing.,10,positive
Feeling really down today. Nothing seems to be going right.,10,negative
"Had a pretty standard day. Nothing exciting, nothing bad.",9,neutral
Finally booked my vacation! So excited to get away for a bit.,12,positive
"My Wi-Fi is so slow today, it's driving me crazy!",10,negative
"The event was good, but I think they could've planned it better.",12,neutral
Just saw the cutest puppy on my walk! It made my day. ??,13,positive
Feeling really stressed out with all this work. Need a break.,11,negative
"The dinner was okay, but I've had better.",8,neutral
"Enjoyed a lovely evening with friends. Good food, good company.",10,positive
The rain ruined my plans for the day. Guess I'll stay in.,12,negative
"Had an average day, nothing to write home about.",9,neutral
The product arrived on time and in perfect condition. Very happy with the purchase.,14,positive
I'm not satisfied with the quality of the service. It was below my expectations.,14,negative
"The movie had some interesting parts, but overall, it was just okay.",12,neutral
"This place is amazing! The atmosphere is great, and the staff are super friendly.",14,positive
"I was disappointed with the concert. The sound quality was poor, and the venue was overcrowded.",16,negative
The book was well-written and engaging from start to finish. Highly recommend it.,13,positive
"The food was mediocre, but the service was excellent.",9,neutral
I regret buying this product. It stopped working after just two uses.,12,negative
